ont,model,Official-Fmax
BP,DGPRO-PU,0.3600598629054924
BP,ESM2-kNN,0.36685968899470317
BP,FreqPrior,0.298420994812982
BP,InterPro2GO,0.49567081491005893
BP,MLP-BCE,0.31953529219016785
BP,tailgr_topk128_topm10,0.4209108537968358
CC,DGPRO-PU,0.6595119498509113
CC,ESM2-kNN,0.6650072345914102
CC,FreqPrior,0.5501113960485953
CC,InterPro2GO,0.6018612822924366
CC,MLP-BCE,0.695452350794232
CC,tailgr_topk128_topm10,0.7085870274640491
EC,DGPRO-PU,0.7122774360839746
EC,ESM2-kNN,0.5073914619991572
EC,FreqPrior,0.29389231977746344
EC,MLP-BCE,0.7069675767499867
EC,tailgr_topk128_topm10,0.7507761508279545
MF,DGPRO-PU,0.5158396517773213
MF,ESM2-kNN,0.4193888240750041
MF,FreqPrior,0.2805308668902413
MF,InterPro2GO,0.5791006818905466
MF,MLP-BCE,0.3953560919347924
MF,tailgr_topk128_topm10,0.4906910478894883
