ont,model,Macro-Fmax_head,Macro-Fmax_mid,Macro-Fmax_tail,Recall@20_head,Recall@20_mid,Recall@20_tail,Term-AUPR_head,Term-AUPR_mid,Term-AUPR_tail
BP,DGPRO-PU,0.12234817395286322,0.05598792158170879,0.03496156190777248,0.060778338462114334,0.07320024818181992,0.06914526224136353,0.06543485780521448,0.026246922933250403,0.018388759773539928
BP,ESM2-kNN,0.14164038751864688,0.07842365009258648,0.061832641745581104,0.0841144472360611,0.1031588464975357,0.07952474802732468,0.05960002542512322,0.024367869590232506,0.03138002802267536
BP,FreqPrior,0.04030412817820191,0.009369573493859812,0.005700205446956151,0.002193095162510872,0.0021782233379781246,0.002287817420437932,0.01416722299191572,0.0009693052553294183,0.0005311418345747745
BP,InterPro2GO,0.12409727240583167,0.05495393619973381,0.045351992240039725,0.06150394678115845,0.047824427485466,0.046231985092163086,0.07031732828090019,0.03180589198909818,0.031950615428458166
BP,MLP-BCE,0.1806282677401933,0.10655090482743067,0.10448402022892955,0.11459527909755707,0.15575848519802094,0.1924910545349121,0.10746215934639153,0.056951427424868896,0.06826264116109527
BP,tailgr_topk128_topm10,0.20257318396704793,0.13609331222370954,0.1263865022470753,0.13176578283309937,0.1940809190273285,0.23101679980754852,0.1283281652695813,0.07936124762825049,0.08464589184606996
CC,DGPRO-PU,0.2597347428241131,0.15546227997328665,0.063034052989922,0.13874804973602295,0.2003427892923355,0.09465033560991287,0.19085116788990159,0.09955425589478652,0.04132101351595762
CC,ESM2-kNN,0.2678196372814129,0.18152880810481734,0.17582052835995413,0.1566329449415207,0.2218753546476364,0.2019750028848648,0.1554438349194568,0.10791075632485128,0.12192122688906788
CC,FreqPrior,0.06428904088466711,0.012312672695945793,0.0070823701845031915,0.004795649088919163,0.0025265528820455074,0.00460251048207283,0.028413249111558705,0.0012076968669127441,0.0006038484334563722
CC,InterPro2GO,0.1718669826907974,0.1436709515498581,0.11812638960487432,0.08477415889501572,0.127544105052948,0.11840062588453293,0.10333718909344264,0.09624274631055617,0.08274294636657836
CC,MLP-BCE,0.3308624507956216,0.27243223736914085,0.25778360606856043,0.21744076907634735,0.36466196179389954,0.4325224757194519,0.25654748879084793,0.2005574320312848,0.19708553621878858
CC,tailgr_topk128_topm10,0.34743227033448737,0.29870265888617176,0.305921145111676,0.225327268242836,0.39688917994499207,0.46867620944976807,0.2766192782338784,0.2259231381287341,0.25174261607570936
EC,DGPRO-PU,0.8045064495669471,0.6177075182786211,0.6465157267111151,0.5729787349700928,0.6162974238395691,0.7602391242980957,0.8017468497634879,0.5847466205145755,0.5966772790273421
EC,ESM2-kNN,0.6384417147479123,0.47506054858159685,0.5399104944916199,0.4419163465499878,0.5023186206817627,0.5527742505073547,0.5410176242327556,0.3771117366262585,0.4654350151725205
EC,FreqPrior,0.17905150312516424,0.07433656672947109,0.047603130986428134,0.02908720262348652,0.0416666679084301,0.03188405930995941,0.0643495254048018,0.01012004466778336,0.006325103779768407
EC,MLP-BCE,0.7999459743499756,0.5785861283463115,0.677623584340124,0.5953678488731384,0.6479992866516113,0.7908117771148682,0.7762389656170772,0.5197184936501755,0.6264023998105664
EC,tailgr_topk128_topm10,0.8206354662775993,0.6879478512047272,0.7713015971502856,0.5856248140335083,0.6934214234352112,0.8464910387992859,0.8082097536187488,0.6675380860968964,0.7329368736501222
MF,DGPRO-PU,0.3576903411493522,0.21076242559580793,0.2006961033356619,0.22891919314861298,0.2574850022792816,0.32738545536994934,0.2775266033557016,0.1461540395275818,0.1520459307178859
MF,ESM2-kNN,0.24444936567924935,0.14531585113975262,0.1140124242820615,0.14225761592388153,0.15760865807533264,0.1188746839761734,0.14403289580469525,0.0734636414171566,0.07177036231309153
MF,FreqPrior,0.05981107871701821,0.01404995405716142,0.007590376978497142,0.004496339708566666,0.0005630630766972899,0.0034782609436661005,0.019612994961515872,0.0021559131385720984,0.0011118371450113095
MF,InterPro2GO,0.36764278709169423,0.20115181696392764,0.1715339460088264,0.22396910190582275,0.1674661636352539,0.17952582240104675,0.2552824878824825,0.14774214145647113,0.13898018174218688
MF,MLP-BCE,0.2879239715101013,0.1762523730655163,0.1950650471523809,0.16531550884246826,0.2349267601966858,0.2757152318954468,0.21001457053147007,0.11494809372526638,0.152358360250876
MF,tailgr_topk128_topm10,0.3484359216758979,0.25059932264943,0.23517271136743542,0.24041542410850525,0.27668315172195435,0.33643898367881775,0.26897528114989866,0.1863550825621529,0.18413005296074694
